#1 GeForce RTX 3080 Ti,26671
#2 GeForce RTX 3090,26152
#3 Radeon RX 6900 XT,25384
#4 GeForce RTX 3080,24643
#5 RTX A5000,23290
#6 Radeon RX 6800 XT,23077
#7 GeForce RTX 3070 Ti,22723
#8 RTX A6000,22633
#9 GeForce RTX 3070,21971
#10 GeForce RTX 2080 Ti,21731
