AMD EPYC 7763,87767
AMD EPYC 7J13,86006
AMD EPYC 7713,85947
AMD Ryzen Threadripper PRO 3995WX,85365
AMD Ryzen Threadripper 3990X,81086
AMD EPYC 7B13,77460
AMD EPYC 7643,76455
AMD EPYC 7702,71677
AMD EPYC 7662,71576
AMD EPYC 7742,68749
